,name,match_code,stage_detail,base_points,total_points,cumulative_total_points,cumulative_avg_total_points,difference
67,Jay,M22,02. Groups - Matchday 2,1,1,11,8.8,2.1999999999999993
68,Jay,M26,03. Groups - Matchday 3,0,0,11,9.3,1.6999999999999993
69,Jay,M28,03. Groups - Matchday 3,0,0,11,10.0,1.0
70,Jay,M30,03. Groups - Matchday 3,0,0,11,10.1,0.9000000000000004
71,Jay,M31,03. Groups - Matchday 3,0,0,11,10.2,0.8000000000000007
72,Jay,M36,03. Groups - Matchday 3,3,6,17,11.8,5.199999999999999
73,Jay,M37,04. KO - Round of 16,1,1,18,14.1,3.9000000000000004
74,Jay,M38,04. KO - Round of 16,1,1,19,14.3,4.699999999999999
75,Jay,M39,04. KO - Round of 16,1,2,21,15.7,5.300000000000001
76,Jay,M40,04. KO - Round of 16,0,0,21,15.7,5.300000000000001
77,Jay,M41,04. KO - Round of 16,0,0,21,15.7,5.300000000000001
78,Jay,M42,04. KO - Round of 16,1,1,22,16.8,5.199999999999999
79,Jay,M43,04. KO - Round of 16,0,0,22,17.2,4.800000000000001
80,Jay,M44,04. KO - Round of 16,0,0,22,17.2,4.800000000000001
81,Jay,M45,05. KO - Quarter Final,0,0,22,18.2,3.8000000000000007
82,Jay,M46,05. KO - Quarter Final,1,2,24,18.4,5.600000000000001
83,Jay,M47,05. KO - Quarter Final,1,1,25,20.7,4.300000000000001
84,Jay,M48,05. KO - Quarter Final,0,0,25,21.3,3.6999999999999993
85,Jay,M49,06. KO - Semi Final,1,2,27,23.1,3.8999999999999986
86,Jay,M50,06. KO - Semi Final,0,0,27,23.9,3.1000000000000014
87,Jonny,M01,01. Groups - Matchday 1,1,2,2,1.6,0.3999999999999999
88,Jonny,M03,01. Groups - Matchday 1,1,1,3,2.2,0.7999999999999998
89,Jonny,M05,01. Groups - Matchday 1,1,1,4,3.9,0.10000000000000009
90,Jonny,M08,01. Groups - Matchday 1,1,1,5,4.8,0.20000000000000018
91,Jonny,M12,01. Groups - Matchday 1,3,3,8,6.2,1.7999999999999998
92,Jonny,M13,02. Groups - Matchday 2,0,0,8,6.2,1.7999999999999998
93,Jonny,M16,02. Groups - Matchday 2,1,1,9,6.8,2.2
94,Jonny,M17,02. Groups - Matchday 2,0,0,9,6.9,2.0999999999999996
95,Jonny,M20,02. Groups - Matchday 2,0,0,9,7.1,1.9000000000000004
96,Jonny,M22,02. Groups - Matchday 2,3,6,15,8.8,6.199999999999999
97,Jonny,M26,03. Groups - Matchday 3,0,0,15,9.3,5.699999999999999
98,Jonny,M28,03. Groups - Matchday 3,3,3,18,10.0,8.0
99,Jonny,M30,03. Groups - Matchday 3,0,0,18,10.1,7.9
100,Jonny,M31,03. Groups - Matchday 3,0,0,18,10.2,7.800000000000001
101,Jonny,M36,03. Groups - Matchday 3,0,0,18,11.8,6.199999999999999
102,Jonny,M37,04. KO - Round of 16,3,3,21,14.1,6.9
